Frame,Time (ns),Hydrogen Bonds,Salt Bridge,Pi-Pi Stacking
1,0.0,4,1,0
2,0.2,4,1,0
3,0.4,4,1,1
4,0.6,5,1,1
5,0.8,5,1,0
6,1.0,5,1,1
7,1.2,5,1,1
8,1.4,5,1,1
9,1.6,5,1,1
10,1.8,4,1,1
11,2.0,3,1,1
12,2.2,3,1,0
13,2.4,5,1,2
14,2.6,4,1,1
15,2.8,3,1,1
16,3.0,3,1,0
17,3.2,2,1,0
18,3.4,1,1,0
19,3.6,2,1,1
20,3.8,2,1,0
21,4.0,2,1,0
22,4.2,2,1,0
23,4.4,2,1,1
24,4.6,1,1,1
25,4.8,2,1,0
26,5.0,2,1,1
27,5.2,2,1,1
28,5.4,1,1,1
29,5.6,1,1,0
30,5.8,3,1,1
31,6.0,2,1,1
32,6.2,2,1,1
33,6.4,2,1,1
34,6.6,2,1,1
35,6.8,2,1,1
36,7.0,2,1,1
37,7.2,3,1,1
38,7.4,1,1,0
39,7.6,2,1,1
40,7.8,2,1,0
41,8.0,1,1,1
42,8.2,2,1,1
43,8.4,1,1,1
44,8.6,1,1,0
45,8.8,3,1,1
46,9.0,2,1,1
47,9.2,3,1,1
48,9.4,1,1,1
49,9.6,1,1,2
50,9.8,1,1,1
51,10.0,1,1,0
